Nombre,Anio,Tipo,Campeon,Pais,Pais_Equipo,Equipo
Jetwire,2009,libero,New Zealand,Venezuela,Sweden,nunc
Photojam,2004,orci,China,Indonesia,Russia,vel
Jaxworks,1991,pretium,Tunisia,Uzbekistan,United States,nec
Miboo,1999,quisque,United Kingdom,Brazil,Russia,sapien
Eare,2012,justo,Sweden,Tajikistan,Russia,lectus
Twitterbridge,2013,luctus,Portugal,United States,Indonesia,leo
Rhyloo,2009,diam,Ukraine,Madagascar,Indonesia,aliquam
Yakidoo,2008,fermentum,Portugal,China,Indonesia,at
JumpXS,2010,quam,Peru,United States,China,ornare
Babbleset,2008,montes,United States,Venezuela,Albania,sit
Vinder,1995,nonummy,Peru,Malaysia,Portugal,ac
Jabbersphere,1989,nullam,Russia,Bulgaria,Indonesia,tellus
Centimia,2008,quam,Philippines,France,China,diam
Brightdog,1996,odio,Portugal,Sweden,Norway,at
Einti,2012,vel,Sweden,China,Portugal,nulla
Blogtags,1988,in,United States,Ukraine,Egypt,nisi
Skinix,2010,dui,Indonesia,Canada,East Timor,ut
Mudo,1955,faucibus,China,Poland,Portugal,fusce
Aibox,2005,elementum,Poland,Portugal,Russia,id
Thoughtblab,1997,eget,Afghanistan,Russia,Thailand,pede
Edgetag,1978,fusce,United States,Indonesia,Mexico,eget
Kare,1997,cum,Poland,China,Tunisia,phasellus
Trupe,2009,in,Germany,China,Russia,dis
Fivebridge,1985,convallis,Guatemala,Poland,South Africa,velit
Mymm,1994,aliquam,France,France,Chile,dui
Zoonoodle,1994,nec,Indonesia,China,Bulgaria,dictumst
Devcast,1996,augue,Peru,China,Sweden,vestibulum
Oyoba,1999,tortor,China,Cuba,China,tincidunt
Mynte,1996,metus,Philippines,Czech Republic,Sweden,cursus
Photobug,2001,pede,Philippines,France,Indonesia,sit
Photobean,2006,suspendisse,Canada,Czech Republic,Senegal,phasellus
Topicware,1992,dis,Kazakhstan,Indonesia,Gambia,vestibulum
Fiveclub,2009,ultrices,Indonesia,Russia,Japan,consequat
Kwimbee,2011,quis,Bahrain,Pakistan,Indonesia,mauris
Flashspan,2013,adipiscing,Nicaragua,Ukraine,China,ut
Eamia,2011,natoque,Mauritius,Philippines,Sierra Leone,in
Jabbertype,2004,proin,Ukraine,Canada,Poland,nulla
Bubbletube,2001,ut,Brazil,China,Thailand,accumsan
Bubblemix,1970,lacus,Norway,Afghanistan,Yemen,orci
Topicblab,2001,imperdiet,Brazil,Poland,China,eget
Fivechat,2008,eu,Kazakhstan,Micronesia,Indonesia,justo
Brainverse,2002,leo,Peru,Indonesia,Philippines,ultrices
Wordpedia,1987,eros,United States,Nicaragua,Poland,sit
Riffpedia,1998,sapien,China,Brazil,Indonesia,varius
Babblestorm,2001,fermentum,Philippines,Czech Republic,China,ligula
Devshare,2008,nullam,Paraguay,Poland,Indonesia,aliquet
Zoomcast,2005,proin,Palestinian Territory,Norway,Russia,velit
Topicstorm,1999,magnis,Indonesia,France,Indonesia,amet
Realcube,2010,ornare,Thailand,Philippines,Saudi Arabia,eget
Quatz,1995,nulla,Norway,Peru,Sudan,quam
Avavee,1998,donec,China,Democratic Republic of the Congo,Brazil,sit
Photospace,2003,commodo,Indonesia,Paraguay,Norway,leo
Gigazoom,2009,mi,Thailand,China,Macedonia,nec
Devshare,2009,tempor,China,Poland,Ukraine,massa
Oyope,1988,et,Ukraine,Albania,China,nec
Yadel,2011,sit,China,China,China,at
Gigabox,1986,vestibulum,Philippines,Netherlands,China,facilisi
Wikizz,1996,aenean,Indonesia,China,Finland,augue
Centizu,2007,porttitor,China,Macedonia,Greece,nonummy
Lajo,1995,orci,Mexico,Yemen,Croatia,est
Twitterbeat,1985,dapibus,Poland,China,China,enim
Roombo,2008,fringilla,Vietnam,China,Indonesia,magna
Dabfeed,2003,purus,Armenia,Portugal,Ethiopia,donec
Vitz,2002,in,Indonesia,China,China,rutrum
Photospace,1997,vel,Syria,Indonesia,United States,nec
Demivee,2002,interdum,Russia,Australia,Brazil,nulla
Skivee,2012,vel,Bolivia,Philippines,Saint Barthelemy,blandit
Fivechat,2006,vivamus,Japan,Philippines,Indonesia,ipsum
Skynoodle,2010,ultrices,Tanzania,China,Russia,mauris
Ozu,1994,quam,United States,Japan,Russia,consectetuer
Minyx,1995,nec,Canada,Poland,Mongolia,risus
Dabtype,2012,proin,China,United States,Philippines,vulputate
Edgepulse,1990,cubilia,Finland,China,China,aliquam
Omba,1996,in,Indonesia,Argentina,Brazil,in
